Transaction Date,Owner,Ticker,Asset Name,Asset Type,Transaction Type,Amount,Comment,Last Name,First Name,Date Received,Bioguide ID
04/29/2024,Joint,LSCC,Lattice Semiconductor Corporation - Common Stock Option Type: Put Strike price: $70.00 Expires: 09/20/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/29/2024,Joint,LSCC,Lattice Semiconductor Corporation - Common Stock Option Type: Put Strike price: $70.00 Expires: 09/20/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/29/2024,Joint,CVX,Chevron Corporation Common Stock Option Type: Call Strike price: $160.00 Expires: 06/21/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/29/2024,Joint,CCL,Carnival Corporation Common Stock Option Type: Put Strike price: $17.50 Expires: 06/21/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/29/2024,Joint,QCOM,QUALCOMM Incorporated - Common Stock Option Type: Put Strike price: $155.00 Expires: 12/20/2024,Stock Option,Purchase,"$15,001 - $50,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/29/2024,Joint,QCOM,QUALCOMM Incorporated - Common Stock Option Type: Put Strike price: $150.00 Expires: 12/20/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/29/2024,Joint,LSCC,Lattice Semiconductor Corporation - Common Stock Option Type: Put Strike price: $75.00 Expires: 01/17/2025,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/29/2024,Joint,LSCC,Lattice Semiconductor Corporation - Common Stock Option Type: Put Strike price: $75.00 Expires: 01/17/2025,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/29/2024,Joint,CLX,Clorox Company Option Type: Put Strike price: $135.00 Expires: 06/21/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/29/2024,Joint,SWKS,"Skyworks Solutions, Inc. - Common Stock Option Type: Put Strike price: $100.00 Expires: 11/15/2024",Stock Option,Purchase,"$15,001 - $50,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/29/2024,Joint,MMM,3M Company Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/29/2024,Joint,PAC,Grupo Aeroportuario Del Pacifico ADR,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/18/2024,Joint,KMB,Kimberly-Clark Corporation Common Stock Option Type: Put Strike price: $115.00 Expires: 06/21/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/18/2024,Joint,NTES,Netease Inc ADR,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,SWKS,"Skyworks Solutions, Inc. - Common Stock Option Type: Put Strike price: $100.00 Expires: 11/15/2024",Stock Option,Sale (Full),"$15,001 - $50,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,TEL,Te Connectivity Ltd,Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,SNPS,"Synopsys, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,SWKS,"Skyworks Solutions, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,QLYS,"Qualys, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,NFLX,"Netflix, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,MSI,"Motorola Solutions, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,NTES,Netease Inc ADR,Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,LULU,lululemon athletica inc. - Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,LSCC,Lattice Semiconductor Corporation - Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,JKHY,"Jack Henry & Associates, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,PAC,"Grupo Aeroportuario Del Pacifico, S.A. B. de C.V.",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,GILD,"Gilead Sciences, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,DECK,Deckers Outdoor Corporation Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,CBSH,"Commerce Bancshares, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,BRO,"Brown & Brown, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/05/2024,Joint,A,"Agilent Technologies, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/04/2024,Joint,AMAT,"Applied Materials, Inc. - Common Stock Option Type: Put Strike price: $135.00 Expires: 09/20/2024",Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/04/2024,Joint,WU,Western Union Company (The) Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/04/2024,Joint,AMAT,"Applied Materials, Inc. - Common Stock Option Type: Put Strike price: $180.00 Expires: 01/17/2025",Stock Option,Purchase,"$15,001 - $50,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/04/2024,Joint,AMAT,"Applied Materials, Inc. - Common Stock Option Type: Put Strike price: $175.00 Expires: 01/17/2025",Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/04/2024,Joint,SSD,"Simpson Manufacturing Company, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/04/2024,Joint,ROK,"Rockwell Automation, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/04/2024,Joint,QSR,Restaurant Brands International Inc,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/04/2024,Joint,REGN,"Regeneron Pharmaceuticals, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/04/2024,Joint,PHM,"PulteGroup, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/04/2024,Joint,PAYC,"Paycom Software, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/04/2024,Joint,NDAQ,"Nasdaq, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/04/2024,Joint,KEYS,Keysight Technologies Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,LSCC,Lattice Semiconductor Corporation - Common Stock Option Type: Put Strike price: $70.00 Expires: 09/20/2024,Stock Option,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,BMY,Bristol-Myers Squibb Company Common Stock Option Type: Put Strike price: $50.00 Expires: 06/21/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,ABBV,AbbVie Inc. Common Stock Option Type: Put Strike price: $130.00 Expires: 09/20/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,GILD,"Gilead Sciences, Inc. - Common Stock Option Type: Put Strike price: $70.00 Expires: 11/15/2024",Stock Option,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,LSCC,Lattice Semiconductor Corporation - Common Stock Option Type: Put Strike price: $75.00 Expires: 01/17/2025,Stock Option,Sale (Full),"$15,001 - $50,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,MCHP,Microchip Technology Incorporated - Common Stock Option Type: Put Strike price: $80.00 Expires: 10/18/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,MCHP,Microchip Technology Incorporated - Common Stock Option Type: Put Strike price: $80.00 Expires: 10/18/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,CCJ,Cameco Corporation Common Stock Option Type: Put Strike price: $45.00 Expires: 09/20/2024,Stock Option,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,MCHP,Microchip Technology Incorporated - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,LLY,Eli Lilly and Company Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,FTNT,"Fortinet, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,IEX,IDEX Corporation Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,EXR,Extra Space Storage Inc Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,BMY,Bristol-Myers Squibb Company Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/03/2024,Joint,AVGO,Broadcom Inc. - Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/23/2024,Spouse,JPM,JP Morgan Chase & Company,Stock,Sale (Partial),"$1,001 - $15,000",--,Capito,Shelley M,05/13/2024,C001047
04/23/2024,Spouse,MSFT,Microsoft Corp,Stock,Sale (Partial),"$1,001 - $15,000",--,Capito,Shelley M,05/13/2024,C001047
04/23/2024,Spouse,AAPL,Apple Inc,Stock,Sale (Partial),"$1,001 - $15,000",--,Capito,Shelley M,05/13/2024,C001047
04/09/2024,Spouse,MSFT,Microsoft Corp,Stock,Sale (Partial),"$1,001 - $15,000",--,Capito,Shelley M,05/13/2024,C001047
04/09/2024,Spouse,GWW,W.W. Grainger,Stock,Sale (Partial),"$1,001 - $15,000",--,Capito,Shelley M,05/13/2024,C001047
04/09/2024,Spouse,SPGI,S&P Global Inc,Stock,Sale (Partial),"$1,001 - $15,000",--,Capito,Shelley M,05/13/2024,C001047
04/09/2024,Spouse,AAPL,Apple Inc,Stock,Sale (Partial),"$1,001 - $15,000",--,Capito,Shelley M,05/13/2024,C001047
04/24/2024,Self,--,Houston Texas Utility Sys Revenue Bond Rate/Coupon: 5.25% Matures: 11/15/2049,Municipal Security,Purchase,"$100,001 - $250,000",--,Scott,Rick,05/10/2024,S001189
04/24/2024,Spouse,--,Houston Texas Utility Sys Revenue Bond Rate/Coupon: 5.25% Matures: 11/15/2049,Municipal Security,Purchase,"$250,001 - $500,000",--,Scott,Rick,05/10/2024,S001189
04/24/2024,Self,--,Houston Texas Utility Sys Revenue Bond Rate/Coupon: 5.25% Matures: 11/15/2049,Municipal Security,Purchase,"$500,001 - $1,000,000",--,Scott,Rick,05/10/2024,S001189
04/24/2024,Spouse,--,Houston Texas Utility Sys Revenue Bond Rate/Coupon: 5.25% Matures: 11/15/2049,Municipal Security,Purchase,"$250,001 - $500,000",--,Scott,Rick,05/10/2024,S001189
04/10/2024,Self,--,New York City Transitional Finance Auth Revenue Bond Rate/Coupon: 5.0% Matures: 02/01/2041,Municipal Security,Sale (Full),"$100,001 - $250,000",--,Scott,Rick,05/10/2024,S001189
04/10/2024,Self,--,New York City Transitional Finance Auth Revenue Bond Rate/Coupon: 5.0% Matures: 02/01/2041,Municipal Security,Sale (Full),"$500,001 - $1,000,000",--,Scott,Rick,05/10/2024,S001189
04/10/2024,Spouse,--,New York City Transitional Finance Auth Revenue Bond Rate/Coupon: 5.0% Matures: 02/01/2041,Municipal Security,Sale (Full),"$250,001 - $500,000",--,Scott,Rick,05/10/2024,S001189
04/10/2024,Spouse,--,Will County IL General Obligation Bond Rate/Coupon: 5.0% Matures: 11/15/2041,Municipal Security,Sale (Full),"$500,001 - $1,000,000",--,Scott,Rick,05/10/2024,S001189
04/10/2024,Spouse,--,Will County IL General Obligation Bond Rate/Coupon: 5.0% Matures: 11/15/2041,Municipal Security,Sale (Full),"$50,001 - $100,000",--,Scott,Rick,05/10/2024,S001189
04/10/2024,Self,--,Main Str Nat Gas Inc Georgia Revenue Bond Rate/Coupon: 5.0% Matures: 12/01/2054,Municipal Security,Purchase,"$100,001 - $250,000",--,Scott,Rick,05/10/2024,S001189
04/10/2024,Spouse,--,Main Str Nat Gas Inc Georgia Revenue Bond Rate/Coupon: 5.0% Matures: 12/01/2054,Municipal Security,Purchase,"$500,001 - $1,000,000",--,Scott,Rick,05/10/2024,S001189
04/10/2024,Self,--,Main Str Nat Gas Inc Georgia Revenue Bond Rate/Coupon: 5.0% Matures: 12/01/2054,Municipal Security,Purchase,"$500,001 - $1,000,000",--,Scott,Rick,05/10/2024,S001189
04/10/2024,Spouse,--,Main Str Nat Gas Inc Georgia Revenue Bond Rate/Coupon: 5.0% Matures: 12/01/2054,Municipal Security,Purchase,"$250,001 - $500,000",--,Scott,Rick,05/10/2024,S001189
12/28/2023,Self,VIG,Vanguard Div Appreciation ETF,Stock,Sale (Partial),"$15,001 - $50,000",--,Graham,Lindsey,05/08/2024,G000359
12/28/2023,Self,USFR,Wisdomtree Floating Rate Treasury Fund,Stock,Purchase,"$15,001 - $50,000",--,Graham,Lindsey,05/08/2024,G000359
03/28/2024,Joint,HES,Hess Corp,Stock,Sale (Full),"$1,001 - $15,000",--,Boozman,John,05/08/2024,B001236
03/28/2024,Joint,AMAT,Applied Materials,Stock,Purchase,"$1,001 - $15,000",--,Boozman,John,05/08/2024,B001236
02/20/2024,Joint,SCHP,Schwab U.S. TIPS ETF,Stock,Sale (Partial),"$1,001 - $15,000",--,Boozman,John,05/08/2024,B001236
02/20/2024,Joint,IEF,iShares 7-10 Year Treasury Bond ETF,Stock,Sale (Partial),"$1,001 - $15,000",--,Boozman,John,05/08/2024,B001236
02/20/2024,Joint,TLH,iShares 10-20 Year Treasury Bond ETF,Stock,Purchase,"$1,001 - $15,000",--,Boozman,John,05/08/2024,B001236
02/20/2024,Joint,TLT,iShares 20+ Year Treasury Bond ETF,Stock,Purchase,"$1,001 - $15,000",--,Boozman,John,05/08/2024,B001236
04/11/2024,Joint,EFA,iShares MSCI EAFE ETF,Stock,Sale (Partial),"$15,001 - $50,000",--,Boozman,John,05/07/2024,B001236
04/16/2024,Joint,CMBS,iShares CMBS Bond ETF,Stock,Sale (Partial),"$1,001 - $15,000",--,Boozman,John,05/07/2024,B001236
04/16/2024,Joint,JMBS,Janus Henderson Mortgage-Backed Securities ETF,Stock,Purchase,"$1,001 - $15,000",--,Boozman,John,05/07/2024,B001236
04/11/2024,Joint,SCZ,iShares MSCI EAFE Small-Cap ETF,Stock,Purchase,"$15,001 - $50,000",--,Boozman,John,05/07/2024,B001236
04/03/2024,Self,ZTS,Zoetis Inc. Class A Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Mullin,Markwayne,05/02/2024,M001190
04/03/2024,Joint,ZTS,Zoetis Inc. Class A Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Mullin,Markwayne,05/01/2024,M001190
04/11/2024,Spouse,VLO,Valero Energy Corp,Stock,Sale (Partial),"$1,001 - $15,000",--,Carper,Thomas R,04/30/2024,C000174
04/11/2024,Spouse,ENB,Enbridge Inc,Stock,Purchase,"$1,001 - $15,000",--,Carper,Thomas R,04/30/2024,C000174
04/01/2024,Spouse,--,JPM CONTINGENT AUTOCALL C Rate/Coupon: 10% Matures: 04/01/2024,Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Carper,Thomas R,04/30/2024,C000174
03/22/2024,Self,UL,Unilever Plc ADR,Stock,Sale (Full),"$1,001 - $15,000",--,Whitehouse,Sheldon,04/24/2024,W000802
03/13/2024,Self,CMCSA,Comcast Corp A,Stock,Sale (Full),"$15,001 - $50,000",--,Whitehouse,Sheldon,04/24/2024,W000802
04/15/2024,Spouse,GS,Goldman Sachs Group,Stock,Sale (Partial),"$250,001 - $500,000",--,Cruz,Rafael E,04/24/2024,C001098
04/04/2024,Spouse,PODD,Insulet Corporation - Common Stock,Stock,Sale (Partial),"$50,001 - $100,000",--,Smith,Tina,04/19/2024,S000510
04/04/2024,Spouse,NEE,Nextera Energy,Stock,Sale (Partial),"$100,001 - $250,000",--,Smith,Tina,04/19/2024,S000510
03/07/2024,Spouse,VZ,Verizon Communications Inc,Stock,Purchase,"$1,001 - $15,000",--,"King, Jr.",Angus S,04/17/2024,K000383
03/21/2024,Joint,WBA,"Walgreens Boots Alliance, Inc. - Common Stock",Stock,Purchase,"$15,001 - $50,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/21/2024,Joint,PARA,Paramount Global - Class B Common Stock,Stock,Purchase,"$15,001 - $50,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/21/2024,Joint,--,ROLLS-ROYCE HOLDINGS PLC SPONSORED ADR,Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/21/2024,Joint,--,ROLLS-ROYCE HOLDINGS PLC SPONSORED ADR,Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/21/2024,Joint,HUMA,Humacyte Inc,Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/21/2024,Joint,HUMA,"Humacyte, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/21/2024,Joint,HUMA,"Humacyte, Inc. - Common Stock",Stock,Purchase,"$15,001 - $50,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/13/2024,Joint,QCOM,QUALCOMM Incorporated - Common Stock Option Type: Put Strike price: $155.00 Expires: 12/20/2024,Stock Option,Sale (Full),"$15,001 - $50,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/13/2024,Joint,ADBE,Adobe Systems Inc Option Type: Put Strike price: $500.00 Expires: 12/20/2024,Stock Option,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/13/2024,Joint,ADBE,Adobe Systems Inc Option Type: Put Strike price: $500.00 Expires: 12/20/2024,Stock Option,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/13/2024,Joint,ADBE,Adobe Systems Inc Option Type: Put Strike price: $500.00 Expires: 12/20/2024,Stock Option,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/13/2024,Joint,ADBE,Adobe Systems Inc Option Type: Put Strike price: $500.00 Expires: 12/20/2024,Stock Option,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/08/2024,Joint,AMAT,"Applied Materials, Inc. - Common Stock Option Type: Put Strike price: $175.00 Expires: 01/17/2025",Stock Option,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/12/2024,Self,--,FEDERAL HOME LN MTG CORP MTN Rate/Coupon: 5.375% Matures: 02/08/2027,Corporate Bond,Purchase,"$100,001 - $250,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/12/2024,Self,AAPL,Apple Inc,Stock,Sale (Full),"$15,001 - $50,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/12/2024,Joint,ACN,Accenture Plc,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/12/2024,Joint,CSX,CSX Corporation - Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/12/2024,Joint,JPM,JP Morgan Chase & Co. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/12/2024,Joint,TXN,Texas Instruments Incorporated - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,04/15/2024,T000278
03/27/2024,Spouse,UPS,"United Parcel Service, Inc. Common Stock",Stock,Sale (Full),"$100,001 - $250,000",--,Wyden,Ron L,04/12/2024,W000779
03/27/2024,Spouse,--,Ohio State Water Dev Auth Revenue Bond Rate/Coupon: 5.0% Matures: 06/01/2046,Municipal Security,Purchase,"$500,001 - $1,000,000",--,Scott,Rick,04/12/2024,S001189
03/27/2024,Self,--,Ohio State Water Dev Auth Revenue Bond Rate/Coupon: 5.0% Matures: 06/01/2046,Municipal Security,Purchase,"$500,001 - $1,000,000",--,Scott,Rick,04/12/2024,S001189
03/27/2024,Spouse,--,Ohio State Water Dev Auth Revenue Bond Rate/Coupon: 5.0% Matures: 06/01/2046,Municipal Security,Purchase,"$250,001 - $500,000",--,Scott,Rick,04/12/2024,S001189
03/21/2024,Self,--,New York State Dorm Auth Personal Income Tax Revenue Bond Rate/Coupon: 5.0% Matures: 03/15/2031,Municipal Security,Sale (Full),"$100,001 - $250,000",--,Scott,Rick,04/12/2024,S001189
03/21/2024,Spouse,--,New York State Urban Development Corp Revenue Bond Rate/Coupon: 5.0% Matures: 03/15/2037,Municipal Security,Sale (Full),"$250,001 - $500,000",--,Scott,Rick,04/12/2024,S001189
03/21/2024,Self,--,Washington County Oregon School District General Obligation Bond Rate/Coupon: 5.0% Matures: 06/15/2027,Municipal Security,Sale (Full),"$500,001 - $1,000,000",--,Scott,Rick,04/12/2024,S001189
03/21/2024,Spouse,--,Washington County Oregon School District General Obligation Bond Rate/Coupon: 5.0% Matures: 06/15/2027,Municipal Security,Sale (Full),"$250,001 - $500,000",--,Scott,Rick,04/12/2024,S001189
03/20/2024,Self,--,New Jersey State Turnpike Revenue Bond Rate/Coupon: 5.25% Matures: 01/01/2049,Municipal Security,Purchase,"$100,001 - $250,000",--,Scott,Rick,04/12/2024,S001189
03/20/2024,Spouse,--,New Jersey State Turnpike Revenue Bond Rate/Coupon: 5.25% Matures: 01/01/2049,Municipal Security,Purchase,"$500,001 - $1,000,000",--,Scott,Rick,04/12/2024,S001189
03/20/2024,Self,--,New Jersey State Turnpike Revenue Bond Rate/Coupon: 5.25% Matures: 01/01/2049,Municipal Security,Purchase,"$500,001 - $1,000,000",--,Scott,Rick,04/12/2024,S001189
03/20/2024,Spouse,--,New Jersey State Turnpike Revenue Bond Rate/Coupon: 5.25% Matures: 01/01/2049,Municipal Security,Purchase,"$250,001 - $500,000",--,Scott,Rick,04/12/2024,S001189
03/14/2024,Spouse,--,Tampa Bay Water Florida Regional Water Supply Auth Revenue Bond Rate/Coupon: 5.0% Matures: 10/01/2037,Municipal Security,Sale (Full),"$250,001 - $500,000",--,Scott,Rick,04/12/2024,S001189
03/14/2024,Self,--,New York State Urban Development Corp Revenue Bond Rate/Coupon: 5.0% Matures: 03/15/2037,Municipal Security,Sale (Full),"$100,001 - $250,000",--,Scott,Rick,04/12/2024,S001189
